Company,ExpandRound2,FundingYear,FundingDate,Amount,SourceURL,Founded_Year,Status,ReportRegion1,ReportRegion2,ReportRegion3,ReportCountry,ReportCity,L2 (Bank Type),L3 (Bank Model),Sector
Upgrade,Series B,2018,2/27/2018,"  40,000,000 ",http://www.upgrade.com/,2016,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail and SME
Upgrade,Series C,2018,8/23/2018,"  62,000,000 ",http://www.upgrade.com/,2016,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail and SME
Upgrade,Series D,2020,6/17/2020,"  40,000,000 ",http://www.upgrade.com/,2016,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail and SME
Varo Money,Series B,2018,1/1/2018,  -   ,http://www.varomoney.com/,2015,Operating,Americas,North America,CA,United States,San Francisco,Challenger Bank,FinTech,Retail Banking
Varo Money,Series B,2018,1/18/2018,"  45,000,000 ",http://www.varomoney.com/,2015,Operating,Americas,North America,CA,United States,San Francisco,Challenger Bank,FinTech,Retail Banking
Varo Money,Series C,2019,7/16/2019,"  100,000,000 ",http://www.varomoney.com/,2015,Operating,Americas,North America,CA,United States,San Francisco,Challenger Bank,FinTech,Retail Banking
Varo Money,Series D,2020,6/3/2020,"  241,000,000 ",http://www.varomoney.com/,2015,Operating,Americas,North America,CA,United States,San Francisco,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Seed/Angel,2014,8/9/2014,"  1,000,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series A,2015,7/21/2015,"  4,500,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series B,2016,4/13/2016,"  23,700,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series C,2017,3/9/2017,"  48,000,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series D,2018,6/18/2018,"  40,000,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series E+,2018,12/10/2018,"  80,000,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series E+,2019,8/8/2019,"  64,000,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series E+,2020,2/1/2020,  -   ,http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Viva Republica - Toss,Series E+,2020,8/28/2020,"  173,000,000 ",http://toss.im,2011,Operating,APAC,APAC,East Asia,South Korea,Seoul,Challenger Bank,FinTech,Retail Banking
Volt Bank,Series C,2020,1/18/2020,"  70,000,000 ",https://www.voltbank.com.au/,2017,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Volt Bank,Unattributed VC,2018,11/1/2018,"  25,000,000 ",https://www.voltbank.com.au/,2017,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Wealthfront,Seed/Angel,2008,12/16/2008,"  3,000,000 ",https://www.wealthfront.com/,2008,Operating,Americas,North America,CA,United States,Palo Alto,NeoBank,Independent ,Retail Banking
Wealthfront,Series A,2009,12/15/2009,"  7,500,000 ",https://www.wealthfront.com/,2008,Operating,Americas,North America,CA,United States,Palo Alto,NeoBank,Independent ,Retail Banking
Wealthfront,Series B,2013,3/20/2013,"  20,000,000 ",https://www.wealthfront.com/,2008,Operating,Americas,North America,CA,United States,Palo Alto,NeoBank,Independent ,Retail Banking
Wealthfront,Series C,2014,4/2/2014,"  35,000,000 ",https://www.wealthfront.com/,2008,Operating,Americas,North America,CA,United States,Palo Alto,NeoBank,Independent ,Retail Banking
Wealthfront,Series D,2014,10/27/2014,"  64,000,000 ",https://www.wealthfront.com/,2008,Operating,Americas,North America,CA,United States,Palo Alto,NeoBank,Independent ,Retail Banking
Wealthfront,Series E+,2018,1/4/2018,"  75,000,000 ",https://www.wealthfront.com/,2008,Operating,Americas,North America,CA,United States,Palo Alto,NeoBank,Independent ,Retail Banking
WeBank,Unattributed VC,2016,6/6/2016,"  182,789,180 ",https://www.webank.com/en/,2014,Operating,APAC,APAC,East Asia,China,Shenzhen,Challenger Bank,"Consortium, Non FI  company Backed ",Retail Banking
WeLab,Seed/Angel,2013,1/1/2013,  -   ,http://www.welab.co,2013,Operating,APAC,APAC,East Asia,Hong Kong,Sheung Wan,Challenger Bank,FinTech,Retail Banking
WeLab,Series A,2015,1/8/2015,"  20,000,000 ",http://www.welab.co,2013,Operating,APAC,APAC,East Asia,Hong Kong,Sheung Wan,Challenger Bank,FinTech,Retail Banking
WeLab,Series B,2016,1/20/2016,"  160,000,000 ",http://www.welab.co,2013,Operating,APAC,APAC,East Asia,Hong Kong,Sheung Wan,Challenger Bank,FinTech,Retail Banking
WeLab,Series B,2017,11/8/2017,"  220,000,000 ",http://www.welab.co,2013,Operating,APAC,APAC,East Asia,Hong Kong,Sheung Wan,Challenger Bank,FinTech,Retail Banking
WeLab,Series C,2019,12/12/2019,"  156,000,000 ",http://www.welab.co,2013,Operating,APAC,APAC,East Asia,Hong Kong,Sheung Wan,Challenger Bank,FinTech,Retail Banking
WeLab,Unattributed VC,2017,10/5/2017,  -   ,http://www.welab.co,2013,Operating,APAC,APAC,East Asia,Hong Kong,Sheung Wan,Challenger Bank,FinTech,Retail Banking
Wise US,Seed/Angel,2020,4/29/2020,"  5,700,000 ",https://www.wise.us,2018,Operating,Americas,North America,CA,United States,San Mateo,NeoBank,Partnership,Retail Banking
Xpence,Seed/Angel,2018,11/1/2018,"  1,065,000 ",https://www.xpence.co,2017,Operating,EMEA,Middle East & Africa,Middle East & Africa (ex Israel),United Arab Emirates,Dubai,NeoBank,Partnership,Retail Banking
Xpence,Seed/Angel,2019,1/15/2019,  -   ,https://www.xpence.co,2017,Operating,EMEA,Middle East & Africa,Middle East & Africa (ex Israel),United Arab Emirates,Dubai,NeoBank,Partnership,Retail Banking
YAPEAL,Seed/Angel,2019,4/17/2019,  -   ,https://yapeal.ch/,2018,Operating,EMEA,Europe (incl Russia),Western Europe,Switzerland,Zurich,Challenger Bank,FinTech,#N/A
Zero,Seed/Angel,2016,9/21/2016,"  2,500,000 ",zerofinancial.com,2016,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,0
Zero,Unattributed VC,2017,10/1/2017,"  8,500,000 ",zerofinancial.com,2016,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,0
